Name,white_1,white_2,red_1,red_2
IR_1,19,22,15,5
IR_2,8,6,4,0
IR_3,63,30,21,13
IR_4,89,63,77,57
IR_5,56,53,56,33
IR_6,7,6,4,9
IR_7,9,15,3,16
IR_8,55,52,49,34
IR_9,0,23,30,2
IR_10,34,63,38,27
IR_11,234,231,96,97
IR_12,101,67,62,87
IR_13,2,0,1,0
IR_14,22,23,1,30
IR_15,29,26,17,0
IR_16,14,22,11,2
IR_17,3,10,13,4
IR_18,219,114,133,147
IR_19,7,9,7,1
IR_20,25,36,20,0
IR_21,52,42,49,15
IR_25,3,6,2,1
IR_26,2,0,0,0
IR_27,8,2,25,15
IR_28,68,61,33,24
IR_30,58,57,32,16
IR_32,308,252,173,125
IR_33,7,6,0,0
IR_34,2,3,2,1
IR_35,7,6,2,2
IR_36,157,239,124,48
IR_38,5,5,2,5
IR_39,14,7,5,1
IR_40,4,1,4,6
IR_41,6,3,3,2
IR_42,3,0,6,1
IR_43,9,10,7,4
IR_44,83,54,50,20
IR_45,22,9,31,24
IR_46,72,91,376,185
IR_47,31,20,21,39
IR_48,96,47,100,30
IR_50,109,66,47,17
IR_51,52,46,14,15
IR_52,56,58,45,35
IR_53,524,414,450,369
IR_54,223,162,132,85
IR_55,128,132,113,60
IR_56,42,41,45,30
IR_57,174,122,91,56
IR_58,70,100,48,34
IR_59,8,1,3,1
IR_60,54,34,22,29
IR_61,221,122,111,40
IR_62,7,19,17,8
IR_64,305,236,219,159
IR_66,4,2,4,2
IR_67,17,36,18,18
IR_68,18,24,3,9
IR_69,32,15,23,6
IR_70,84,96,36,42
IR_71,64,54,51,18
IR_72,22,8,7,3
IR_74,3,2,1,3
IR_75,6,7,5,5
IR_76,51,38,30,14
IR_77,32,13,12,5
IR_78,13,22,12,3
IR_79,72,45,32,0
IR_80,25,25,15,11
IR_81,117,86,70,22
IR_82,21,23,19,9
IR_83,41,9,30,15
IR_85,25,23,2,8
IR_87,37,43,2,8
IR_89,7,14,4,2
IR_91,8,4,4,2
IR_92,19,3,3,0
IR_93,69,66,34,9
IR_94,55,22,11,9
IR_95,13,21,12,1
IR_99,66,99,59,51
IR_100,48,52,27,29
IR_101,2,1,4,0
IR_102,0,10,16,17
IR_103,35,20,39,16
IR_105,13,9,4,4
IR_106,128,91,86,41
IR_107,1,4,4,3
IR_108,7,2,4,1
IR_109,95,115,162,94
IR_110,4,16,10,11
IR_111,3,4,6,6
IR_112,29,31,7,16
IR_113,102,71,75,41
IR_114,5,1,0,0
IR_115,18,13,11,2
IR_116,8,7,1,4
IR_117,56,38,34,25
IR_118,49,46,51,22
IR_119,24,17,14,14
IR_120,15,13,5,17
IR_121,49,24,26,26
IR_123,21,8,9,8
IR_125,5,2,6,5
IR_126,38,31,27,12
IR_127,78,63,48,40
IR_128,33,16,36,5
IR_129,7,1,21,31
IR_131,80,61,207,139
IR_132,8,6,14,5
IR_133,164,133,90,49
IR_134,22,14,17,5
IR_135,28,31,9,2
IR_136,23,5,13,1
IR_137,2,12,0,1
IR_138,42,8,42,1
IR_139,13,15,9,4
IR_140,5,13,17,2
IR_141,123,100,109,61
IR_142,2,2,3,8
IR_143,29,14,58,1
IR_144,0,0,12,0
IR_145,40,41,41,20
IR_146,780,714,287,125
IR_147,11,2,7,0
IR_150,0,0,0,0
IR_151,8,3,6,5
IR_152,109,71,55,28
IR_153,78,58,56,32
IR_154,21,10,24,48
IR_155,0,1,0,1
IR_156,5,7,3,1
IR_157,0,0,1,8
IR_158,48,18,29,22
IR_159,17,12,12,0
IR_160,183,151,142,69
IR_161,5,4,4,7
IR_162,3,6,1,0
IR_163,35,35,24,9
IR_164,30,22,17,7
IR_165,1,0,7,16
IR_167,8,15,1,2
IR_168,61,46,27,0
IR_169,8,3,5,7
IR_170,8,2,17,18
IR_171,6,16,21,1
IR_172,65,43,31,23
IR_175,23,22,25,29
IR_176,2,0,0,6
IR_177,57,41,32,71
IR_178,0,0,0,0
IR_179,46,24,33,19
IR_180,10,13,5,4
IR_181,16,19,39,6
IR_182,43,8,27,4
IR_183,98,47,51,35
IR_184,2,0,2,0
IR_188,55,23,30,27
IR_189,5,0,7,0
IR_190,48,31,20,26
IR_191,1,0,0,1
IR_192,17,10,8,26
IR_193,50,11,44,4
IR_194,0,0,0,0
IR_195,74,52,51,35
IR_196,49,34,25,11
IR_197,56,37,36,18
IR_198,147,110,121,80
IR_199,3,1,2,2
IR_200,3,10,5,13
IR_201,27,40,56,28
IR_202,8,8,6,4
IR_203,1,3,4,0
IR_204,2,0,0,8
IR_205,9,17,13,13
IR_206,8,3,14,11
IR_207,1,0,1,1
IR_208,3,0,1,2
IR_210,0,0,1,1
IR_211,0,2,0,0
IR_212,7,6,0,4
IR_213,20,22,16,22
IR_215,11,25,17,0
IR_216,83,55,35,29
IR_217,41,62,37,0
IR_218,236,203,151,103
IR_219,57,48,30,26
IR_220,18,10,9,2
IR_221,58,32,25,20
IR_222,7,5,1,5
IR_223,1,4,1,5
IR_224,8,7,2,0
IR_225,25,29,12,1
IR_226,0,2,9,4
IR_227,15,8,16,4
IR_228,3,2,1,1
