Coords	Name	MIRNA	white_1_trimmed	white_2_trimmed	red_1_trimmed	red_2_trimmed	SRR1586419_trimmed	SRR1586420_trimmed	SRR1586421_trimmed	SRR1586422_trimmed	SRR1586423_trimmed	SRR1586424_trimmed	SRR1586425_trimmed	SRR1586426_trimmed
Fvb1:31082-31415	User_locus_1	N	19	22	15	5	7	83	48	175	108	95	87	42
Fvb1:33582-33970	User_locus_2	N	8	6	4	0	0	11	1	24	17	3	0	0
Fvb1:43090-43398	User_locus_3	N	63	30	21	13	31	117	15	106	54	97	125	24
Fvb1:57399-57822	User_locus_4	N	89	63	77	57	52	92	33	193	148	360	224	52
Fvb1:57824-58525	User_locus_5	N	56	53	56	33	33	239	29	491	167	577	328	87
Fvb1:72805-73160	User_locus_6	N	7	6	4	9	9	18	14	26	10	30	20	12
Fvb1:73172-73584	User_locus_7	N	9	15	3	16	28	29	12	9	36	44	34	14
Fvb1:73585-74053	User_locus_8	N	55	52	49	34	26	10	7	40	58	131	117	44
Fvb1:93251-93692	User_locus_9	N	0	23	30	2	2	36	7	23	34	30	1	7
Fvb1:150331-150761	User_locus_10	N	34	63	38	27	8	10	0	67	31	71	66	23
Fvb1:152371-152797	User_locus_11	N	234	231	96	97	64	825	119	932	900	1835	2514	613
Fvb1:214803-215233	User_locus_12	N	101	67	62	87	13	40	0	163	57	463	225	75
Fvb1:226995-227322	User_locus_13	N	2	0	1	0	1	15	1	7	7	1	12	0
Fvb1:231804-232203	User_locus_14	N	22	23	1	30	4	67	15	38	8	122	11	0
Fvb1:253178-253605	User_locus_15	N	29	26	17	0	0	30	27	82	31	85	98	21
Fvb1:261872-262088	User_locus_16	N	14	22	11	2	11	59	4	72	28	98	121	16
Fvb1:277209-277723	User_locus_17	N	3	10	13	4	4	20	1	8	10	47	39	3
Fvb1:323656-323814	User_locus_18	N	219	114	133	147	1	173	52	258	249	682	643	342
Fvb1:381220-381694	User_locus_19	N	7	9	7	1	9	39	4	21	18	49	38	7
Fvb1:394403-394790	User_locus_20	N	25	36	20	0	5	83	7	108	92	273	192	34
Fvb1:434814-435169	User_locus_21	N	52	42	49	15	82	103	65	450	337	548	498	59
Fvb1:554697-555395	User_locus_22	N	73	59	92	69	60	191	25	149	124	310	226	110
Fvb1:637710-638357	User_locus_23	N	3816	3735	4384	3048	1634	7740	2200	11209	5616	16269	12850	5747
Fvb1:734104-734802	User_locus_24	N	55	61	52	35	8	52	18	85	44	219	155	91
Fvb1:759197-759891	User_locus_25	N	3	6	2	1	54	64	43	48	56	69	37	13
Fvb1:777632-777803	User_locus_26	N	2	0	0	0	0	0	2	9	0	0	4	0
Fvb1:777806-778181	User_locus_27	N	8	2	25	15	0	21	0	41	21	37	9	13
Fvb1:859964-860274	User_locus_28	N	68	61	33	24	10	50	11	147	80	205	148	40
Fvb1:886933-887586	User_locus_29	N	4266	3859	4130	2934	1607	4816	2161	7967	5188	10454	4003	2633
Fvb1:974818-975475	User_locus_30	N	58	57	32	16	12	57	1	45	40	138	95	26
Fvb1:1018875-1019340	User_locus_31	N	0	0	0	1	0	0	1	0	0	0	0	0
Fvb1:1050984-1051407	User_locus_32	N	308	252	173	125	98	716	81	687	580	1376	973	240
Fvb1:1100368-1100773	User_locus_33	N	7	6	0	0	1	2	1	18	1	1	4	2
Fvb1:1101620-1101961	User_locus_34	N	2	3	2	1	0	0	2	9	6	28	3	0
Fvb1:1198137-1198835	User_locus_35	N	7	6	2	2	0	12	4	28	15	48	17	10
Fvb1:1199799-1200186	User_locus_36	N	157	239	124	48	60	274	16	230	159	639	388	32
Fvb1:1258345-1258635	User_locus_37	N	0	0	4	0	0	0	0	0	0	0	1	1
Fvb1:1291824-1292326	User_locus_38	N	5	5	2	5	0	6	0	17	19	43	23	7
Fvb1:1292351-1292745	User_locus_39	N	14	7	5	1	2	22	1	38	11	56	10	9
Fvb1:1292746-1293159	User_locus_40	N	4	1	4	6	0	19	1	4	4	6	21	1
Fvb1:1293160-1293581	User_locus_41	N	6	3	3	2	0	3	0	7	3	17	15	0
Fvb1:1371559-1371771	User_locus_42	N	3	0	6	1	0	2	3	5	3	12	4	8
Fvb1:1436393-1436774	User_locus_43	N	9	10	7	4	6	14	16	51	32	55	32	19
Fvb1:1473569-1473972	User_locus_44	N	83	54	50	20	13	63	12	114	64	123	52	9
Fvb1:1552762-1553170	User_locus_45	N	22	9	31	24	0	12	19	284	3	276	163	6
Fvb1:1564401-1564598	User_locus_46	N	72	91	376	185	28	21	33	132	18	52	13	9
Fvb1:1924529-1925006	User_locus_47	N	31	20	21	39	11	36	12	73	49	135	51	32
Fvb1:1961629-1962121	User_locus_48	N	96	47	100	30	19	65	5	51	27	195	117	51
Fvb1:1990268-1990813	User_locus_49	N	3402	3400	3230	2424	2662	12071	2965	10962	8585	24547	16719	8715
Fvb1:1992613-1993026	User_locus_50	N	109	66	47	17	28	253	102	295	257	310	157	59
Fvb1:2000333-2000764	User_locus_51	N	52	46	14	15	12	49	7	93	66	140	97	31
Fvb1:2099517-2100153	User_locus_52	N	56	58	45	35	34	55	64	282	205	193	199	59
Fvb1:2119082-2119510	User_locus_53	N	524	414	450	369	319	1649	161	972	888	2157	1271	478
Fvb1:2135774-2136198	User_locus_54	N	223	162	132	85	36	158	15	124	90	516	254	43
Fvb1:2198684-2199002	User_locus_55	N	128	132	113	60	1	86	22	258	86	351	195	22
Fvb1:2230930-2231264	User_locus_56	N	42	41	45	30	57	116	41	178	184	310	170	59
Fvb1:2245106-2245803	User_locus_57	N	174	122	91	56	9	133	12	94	140	303	160	34
